index,answer,correct_answer,score,correct
1166,Marisa Tomei,Marisa Tomei,1,TRUE
1167,Sidney Poitier,Sidney Poitier,1,TRUE
1168,Tom Wilkenson,Tom Wilkinson,0.98,TRUE
1169,Albert Brooks,Albert Brooks,1,TRUE
1170,Emma Thompson,Emma Thompson,1,TRUE
1171,Beau Bridges,Beau Bridges,1,TRUE
1172,Ben Kingsley,Ben Kingsley,1,TRUE
1173,Bill Pullman,Bill Pullman,1,TRUE
1174,Angelina Jolie,Jennifer Lopez,0.571,FALSE
1175,Katherine Keener,Catherine Keener,0.958,TRUE
1176,Elliot Gould,Elliott Gould,0.986,TRUE
1177,Patricia Arquette,Patricia Arquette,1,TRUE
1178,George Lopez,George Lopez,1,TRUE
1179,Judi Dench,Judi Dench,1,TRUE
1180,Mark Walburg,Mark Wahlberg,0.964,TRUE
1181,Christopher Walkin,Christopher Walken,0.996,TRUE
1182,James Galdolphini,James Gandolfini,0.934,TRUE
1183,Ann Hathaway,Anne Hathaway,0.98,TRUE
1184,Jeremy Irons,Jeremy Irons,1,TRUE
1185,Alan Arkin,Alan Arkin,1,TRUE
1186,Charlie Sheen,Charlie Sheen,1,TRUE
1187,Michael Fasbender,Michael Fassbender,0.993,TRUE
1188,Kevin James,Kevin James,1,TRUE
1189,Forest Witaker,Forest Whitaker,0.99,TRUE
1190,Steve Martin,Steve Martin,1,TRUE
1193,Tilda Swinton,Tilda Swinton,1,TRUE
1196,Blithe Danner,Blythe Danner,0.957,TRUE
1199,Sam Worthington,Sam Worthington,1,TRUE
1202,Jude Law,Jude Law,1,TRUE
1205,Jennifer Jason Leigh,Jennifer Jason Leigh,1,TRUE
1208,Viggo Mortenson,Viggo Mortensen,0.994,TRUE
1210,Tim Blake nelson,Tim Blake Nelson,1,TRUE
1213,Sean Penn,Sean Penn,1,TRUE
1216,Morgan  freeman ,Morgan Freeman,1,TRUE
1219,Ryan Gosling,Ryan Gosling,1,TRUE
1232,Daniel Craig ,Daniel Craig,1,TRUE
1191,Nick Nolte,Nick Nolte,1,TRUE
1194,Nick Nolte,Nicholas Cage,0.699,FALSE
1197,Laura Dern,Laura Dern,1,TRUE
1200,Roger Moore,Roger Moore,1,TRUE
1203,Javier Bardem,Javier Bardem,1,TRUE
1206,Kelly MacDonnald,Kelly MacDonald,0.995,TRUE
1209,Viggo mortenson,Viggo Mortensen,0.947,TRUE
1211,Emma stone,Emma Stone,1,TRUE
1214,Bill Cosby,Bill Cosby,1,TRUE
1217,Jane Fonda ,Jane Fonda,1,TRUE
1220,Sigourney weaver ,Sigourney Weaver,1,TRUE
1225,toni  colette,Toni Collette,0.846,FALSE
1226,David Schwimmer ,David Schwimmer,1,TRUE
1192,Owen Wilson,Owen Wilson,1,TRUE
1195,Ryan Reynolds,Ryan Gosling,0.863,TRUE
1198,Chris Cooper,Chris Cooper,1,TRUE
1201,Tim Blake Nelson,Tim Blake Nelson,1,TRUE
1204,Michael Shannon,Michael Shannon,1,TRUE
1207,William Hurt,William Hurt,1,TRUE
1212,Bridget Fonda,Bridget Fonda,1,TRUE
1215,Sam Worthington,Sam Worthington,1,TRUE
1218,Rosie perez ,Rosie Perez,1,TRUE
1221,Viggo Mortensen ,Viggo Mortensen,1,TRUE
1222,,Sandra Bullock,0,FALSE
1223,Meg ryan,Meg Ryan,1,TRUE
1224,Anthony Hopkins ,Anthony Hopkins,1,TRUE
1227,Nicole kiddman,Nicole Kidman,0.963,TRUE
1228,Will Farrell ,Will Ferrell,0.941,TRUE
1229,Natalie Portman ,Natalie Portman,1,TRUE
1230,Jeremy irons,Jeremy Irons,1,TRUE
1231,Mark wahlberg,Mark Wahlberg,1,TRUE
1233,Elizabeth Shue ,Elisabeth Shue,0.945,TRUE
1234,Emma Thompson ,Emma Thompson,1,TRUE
1235,Renee Russo ,Rene Russo,0.963,TRUE
1236,Ian Holm ,Ian Holm,1,TRUE
1237,Steve Martin ,Steve Martin,1,TRUE
1238,Steve correl,Steve Carell,0.917,TRUE
1239,Steve correl,Peter Coyote,0.627,FALSE
1240,Daniel Radcliffe ,Daniel Radcliffe,1,TRUE
1241,Sarah Louisema,Sarah Jessica Parker,0.793,FALSE
1242,Sarah Louisema,Gabriel Byrne,0.514,FALSE
1243,Sarah Louisema,Sam Shepard,0.602,FALSE
1244,William Hurt,William Hurt,1,TRUE
1245,Chris Cooper,Chris Cooper,1,TRUE
1246,John Hawks,John Hawkes,0.994,TRUE
1247,Vince Vaughn,Vince Vaughn,1,TRUE
1248,Jamie Bell,Jamie Bell,1,TRUE
1249,Jack Black,Jack Black,1,TRUE
1250,Selma Hyaek,Salma Hayek,0.854,TRUE
1251,Eddie Murphy,Eddie Murphy,1,TRUE
1252,Juilette Binoche,Juliette Binoche,0.982,TRUE
1253,Pierce Brosnan,Pierce Brosnan,1,TRUE
1254,Charlie Sheen,Charlie Sheen,1,TRUE
1255,Roger MOore,Roger Moore,1,TRUE
1256,Owen Wilson,Owen Wilson,1,TRUE
1257,Andy Garcia,Andy Garcia,1,TRUE
1258,Catherine Keener,Catherine Keener,1,TRUE
1259,Cathy Bates,Kathy Bates,0.939,TRUE
1260,Lindsey lohan,Lindsay Lohan,0.937,TRUE
1261,Kiera Knigtly,Keira Knightley,0.935,TRUE
1262,Alfred Molina,Alfred Molina,1,TRUE
1263,Elizabeth Perkins,Elizabeth Perkins,1,TRUE
1264,Tom Arnold,Tom Arnold,1,TRUE
1265,Kevin James,Kevin James,1,TRUE
1266,Miney Driver,Minnie Driver,0.893,TRUE
1267,Jill Clayburg,Jill Clayburgh,0.998,TRUE
1268,Michael Keeton,Michael Keaton,0.986,TRUE
1269,Dan  Aykroid,Dan Aykroyd,0.943,TRUE
1270,Steven Segal,Steven Seagal,0.984,TRUE
1271,Jeff Bridges,Jeff Bridges,1,TRUE
1272,Alan Rickman,Alan Rickman,1,TRUE
1273,Viggo Mortenson,Viggo Mortensen,0.994,TRUE
1274,Forest Wittaker,Forest Whitaker,0.979,TRUE
1275,Robert De Niro,Robert De Niro,1,TRUE
1276,Andie MacDowel,Andie MacDowell,0.999,TRUE
1277,Paul Giamatti,Paul Giamatti,1,TRUE
1278,Bill Murray,Bill Murray,1,TRUE
1279,Josh Brolin,Josh Brolin,1,TRUE
1280,Jeff Daniels,Jeff Daniels,1,TRUE
1281,Billy Crystal,Billy Crystal,1,TRUE
