0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,target,answer,correct_answer,score,target_as
74.0,105.0,109.0,32.0,67.0,97.0,114.0,114.0,121.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,99.3,154.0,Jim Carry,Jim Carrey,0.993,0.0
79.0,114.0,108.0,97.0,110.0,100.0,111.0,32.0,66.0,108.0,111.0,111.0,109.0,101.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,99.8,240.0,Orlando Bloome,Orlando Bloom,0.998,0.0
66.0,105.0,108.0,108.0,32.0,77.0,117.0,114.0,114.0,97.0,121.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,29.0,Bill Murray,Bill Murray,1.0,0.0
75.0,105.0,101.0,114.0,114.0,97.0,32.0,75.0,110.0,105.0,103.0,104.0,116.0,108.0,121.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,93.6,184.0,Kierra Knightly,Keira Knightley,0.9359999999999999,0.0
74.0,111.0,104.0,110.0,32.0,84.0,114.0,97.0,118.0,111.0,108.0,116.0,97.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,166.0,John Travolta,John Travolta,1.0,0.0
80.0,101.0,116.0,101.0,114.0,32.0,79.0,39.0,116.0,111.0,111.0,108.0,101.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,250.0,Peter O'toole,Peter O'toole,1.0,0.0
75.0,101.0,110.0,110.0,101.0,116.0,104.0,32.0,66.0,114.0,97.0,110.0,97.0,117.0,103.0,104.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,99.6,186.0,Kenneth Branaugh,Kenneth Branagh,0.996,0.0
77.0,111.0,114.0,103.0,97.0,110.0,32.0,70.0,114.0,101.0,101.0,109.0,97.0,110.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,232.0,Morgan Freeman,Morgan Freeman,1.0,0.0
82.0,105.0,99.0,107.0,101.0,121.0,32.0,74.0,101.0,114.0,118.0,97.0,105.0,115.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,92.8,260.0,Rickey Jervais,Ricky Gervais,0.9279999999999999,0.0
74.0,97.0,109.0,105.0,101.0,32.0,70.0,111.0,120.0,120.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,134.0,Jamie Foxx,Jamie Foxx,1.0,0.0
68.0,97.0,110.0,105.0,101.0,108.0,32.0,67.0,114.0,97.0,105.0,103.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,62.0,Daniel Craig,Daniel Craig,1.0,0.0
79.0,114.0,108.0,97.0,110.0,100.0,111.0,32.0,66.0,108.0,111.0,111.0,109.0,101.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,99.8,240.0,Orlando Bloome,Orlando Bloom,0.998,0.0
